Species,Climate,Plot_ID,Individual_ID,Season,Drought_treatment,Table,Rack,Position_within_Rack,Seed1(g),Seed2(g),Seed3(g),Seed4(g),Seed5(g),#exp Seed,Date exp seed,weight exp seed,cotyl 1 length exp,cotyl 1 width exp,cotyl 2 length exp,cotyl 2 width exp,exp_cotyl_length_aver,exp_cotyl_width_aver,#rgr seed,date rgr seed,weight rgr seed,rgr biomass,cotyl 1 length rgr,cotyl 1 width rgr,cotyl 2 length rgr,cotyl 2 width rgr,rgr_cotyl_length_aver,rgr_cotyl_width_aver,date harvesting,height (mm),rosette diameter (mm),abgr_biomass,undergr_biomass
Sca_och,future,7_2,7_2_C1,summer,drought,3,5,15,0.0009,0.00092,0.00122,0.0018,0.00165,,,,,,,,,,,,,,,,,,,,,,,,
Sca_och,ambient,3_4,3_4_C1,summer,control,3,5,16,0.00142,0.00097,0.0018,0.00099,0.00148,,,,,,,,0,0,,,,,,,,,,,,,,,
Dia_car,ambient,8_3,8_3_C4,summer,drought,3,5,19,0.00082,0.0007,0.00067,0.00062,0.00063,2,1/4/2021,0.0007,4.5,2.34,4.7,2.45,4.6,2.395,1,12/4/2020,0.00082,0.00119,4.84,3.7,5.34,3.62,5.09,3.66,2/15/2021,,,,
Sca_och,ambient,10_2,10_2_C3,fall,drought,3,5,21,0.00098,0.00071,0.00078,0.00088,0.00075,,,,,,,,,,,,,,,,,,,,,,,,
Dia_car,future,7_2,7_2_C4,summer,drought,3,5,28,0.00074,0.00086,0.00057,0.00075,0.00084,1,11/30/2020,0.00074,6.26,3.72,6.67,3.48,6.465,3.6,,,,,,,,,,,1/11/2021,54,78,0.21903,0.10462
Dia_car,ambient,5_5,5_5_C2,summer,control,3,5,29,0.00099,0.00085,0.00041,0.00045,0.00032,,,,,,,,0,0,,,,,,,,,,,,,,,
Dia_car,ambient,5_5,5_5_C1,fall,drought,3,5,30,0.00059,0.00059,0.00032,0.00065,0.0008,4,12/14/2020,0.00065,5.24,3.32,5.41,3.8,5.325,3.56,,,,,,,,,,,1/25/2021,,,,
Sca_och,ambient,5_5,5_5_C1,fall,drought,3,5,31,0.00098,0.0011,0.001,0.00092,0.00105,,,,,,,,,,,,,,,,,,,,,,,,
Dia_car,ambient,8_3,8_3_C4,fall,drought,3,5,33,0.00039,0.0005,0.00058,0.00057,0.00037,1,12/2/2020,0.00039,3.96,1.64,3.74,2.14,3.85,1.89,2,12/14/2020,0.0005,0.00117,3.53,2.3,5.1,2.72,4.315,2.51,1/13/2021,9,11,,
Sca_och,ambient,8_3,8_3_C3,summer,drought,3,5,34,0.00047,0.0005,0.00054,0.00052,0.00053,,,,,,,,,,,,,,,,,,,,,,,,
